"J.D. Women's College, Patna, 800023 ",,
"Jagdam College Chapra 841301, Bihar(First Cycle)",,
"Jhumak Mahaseth Dr. Dharampriya Lal Mahila College, Madhubani – 847211 ",,
"Kedar Sant Ramasharya College, Samastipur, 848127 ",,
"Krishak College, Nawada – 805124 ",,
"Lakshmi Narayan College, Vaishali, 844114 ",,
"Langat Singh College, Muzaffarpur, 842001  ",,
"M. R. Mahila Mahavidyalaya, Darbhanga – 846004 ",,
"M.D.D.M College Club Road Muzaffarpur 842002, Bihar ",,
"Magadh College of Education, Gaya – 823001 ",,
"Mahadeo Singh College, Bhagalpur, 812002 ",,
"Maharaj Lakshmishwar Singh Memorial College, Darbhanga – 846004 ",,
"Maharani Kalyani College, Laheriasarai, Darbhanga, 846003 ",,
"Mahila College, Dehri-on-Sone (Rohtas) – 821307  ",,
"Marwari College, Bhagalpur, 812007 ",,
"Marwari College, Darbhanga – 846004  ",,
"Millat College Darbhanga 846004, Bihar  ",,
"Mithila Teachers' Training College, Darbhanga – 847223 ",,
"Munshi Singh College, Motihari, E. Champaran, Bihar ",,
"Narayan Mahavidyalaya, Goreakothi, Siwan – 841434 ",,
"Pandit Ugam Pandey College, Motihari – 845401  ",,
"Patna Training College, Patna – 800004 ",,
"Patna Women's College, Patna – 800001 ",,
"Raj Narain College, Vaishali, 844101 ",,
"Rajendra College, Chapra – 841301   ",,
"Rajendra Mishra College, Saharsa, Bihar(First Cycle)",,
